title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4578,Ultimativer Endgegner Gong,FANTASY,"KIM JANGHUN,HA SEONGSHIN,PARK SUBONG",SATURDAY,5,1683,9.7,11488,519,ONGOING,False,"Der legendäre Kommandant Gong ist der beste MMO-Spieler der Welt und Anführer der stärksten Gilde namens „Endspielkönig“ - und ganz nebenbei wird er seit einer Woche vermisst! Es stellt sich heraus, dass er Beta-Tester für ein neues Virtual-Reality-Spiel namens Astrom geworden ist. Doch die Intrige einer bösartigen KI führt dazu, dass er in einen NPC verwandelt wird und somit im Spiel feststeckt. Nun muss er einen Weg finden, diesem kranken Metaversum zu entkommen - doch wird es ihm als besten Spieler der Welt gelingen, die künstliche Intelligenz zu überlisten?
"
4577,Complicated Cohabitation,ROMANCE,"Hwang Han-Young,I-room",FRIDAY,5,2653,9.4,21436,885,ONGOING,False,"Unvermeidbare Umstände führen dazu, dass Yookyung mit Yijun, einem Freund ihres kleinen Bruders, zusammenleben muss. Zunächst tut sie sich mit ihrer neuen Wohnsituation schwer, aber schließlich findet sie es gar nicht so schlimm, als sich herausstellt, dass sich Yijun ausgesprochen gut bei Hausarbeiten anstellt. Zudem zeigt er sich auch von seiner besten Seite, während er Yookyung tröstet, als ihr Freund zunehmend kälter und abweisender wird. Doch die Dinge werden schnell kompliziert, als er Gefühle für sie zu entwickeln scheint."
4576,Die Rückkehr der Huashan-Sekte,ACTION,"LICO,Biga",THURSDAY,5,2048,9.91,14748,735,ONGOING,False,"Als Cheongmyeong von der Huashan-Sekte hundert Jahre in der Zukunft erwacht, sind seine letzten Erinnerungen die einer blutigen Schlacht gegen Cheonma, den Anführer des Dämonenkults. Die Schlacht hätte beinahe das Ende der Zehn Großen Sekten des alten Chinas bedeutet, bevor es Cheongmyeong gelang, Cheonma niederzuschlagen und das Blutvergießen zu beenden. Bald darauf erlag er jedoch seinen Wunden, erfüllt von Bedauern über seinen letztlich bedeutungslosen Sieg. Doch mit seiner Wiedererwachung ist noch nicht alles verloren. Schockiert darüber, dass seine geliebte Huashan-Sekte in der Gegenwart nur noch ein Schatten ihrer selbst ist, begibt sich Cheongmyeong auf eine Reise, um sie zu ihrem früheren Ruhm zu verhelfen. 
"
4575,Rewriting My Dark Past,FANTASY,"TARU,SOMIN,JONAH",WEDNESDAY,3,2701,9.39,40433,1966,ONGOING,True,"Reina ist eine junge Adlige, die mit einem schwarzen Drachen zusammenlebt ... so scheint es zumindest! Doch in Wahrheit ist sie eine ganz normale junge Frau, die sich plötzlich in dem fiktiven Roman wiederfindet, den sie als Teenager geschrieben hat. Man sollte also meinen, sie würde wissen, wie die Geschichte verlaufen wird ... doch warum verhalten sich die Figuren des Kronprinzen und des Erzherzogs plötzlich ganz anders, als sie erwartet hatte? "
4574,Ghost King,ACTION,"SON GOHOO,PARK JINSEOK",TUESDAY,5,2245,8.27,14241,615,ONGOING,False,"Was wäre, wenn die Welt in Menschen mit und Menschen ohne Martial Arts Fähigkeiten unterteilt wäre? Taeyeon Kang ist einer der wenigen Glücklichen, die mit genau solchen Fähigkeiten geboren wurden. Als Neuling an der Murim Polizeiunversität, einer Schule für Menschen mit besonderen Kräften, hat Taeyeon jedoch sein ganz eigenes Geheimnis. Er ist hier, um die Wahrheit hinter dem Verschwinden seines Vaters aufzudecken und um Schutz vor dem bösen Murim-Clan zu suchen, die hinter dem geheimen Buch mit den Kampfkunsttechniken seiner Familie her ist. Zur gleichen Zeit kehrt der legendäre Phatomkönig Jahre nach seinem mysteriösen Verschwinden zurück. Doch wer ist dieser maskierte Anti-Held?

"
4573,Ihr süßes Blut,ROMANCE,"S,NALCHI",MONDAY,3,3674,9.51,51352,2345,ONGOING,True,"In einer Welt, in der Vampire Blut wie Wein als hochpreisige Produkte nach Geschmack und Qualität bewerten, betriebt der mysteriöse Harry Kingston als Blutmakler eine kleine Weinbar in Korea. Als eines Tages die Highschool-Schülerin Yeonseo auftaucht, stellt Harry fest, dass ihr besonderes Blut einen enormen Wert hat und schlägt ihr einen Exklusivvertrag für ihr Blut vor. Von Geldsorgen getrieben nimmt Yeonseo das Angebot an und zwischen den beiden beginnt eine turbulente Zweckspartnerschaft.
"
4516,Eleceed,ACTION,"Jeho Son,ZHENA","WEDNESDAY,SATURDAY",17,2454,9.72,34171,1979,ONGOING,False,"Jiwoo ist ein gutherziger (und viel zu naiver) Oberschüler, der sich seine blitzschnellen Reflexe zunutze macht, um die Welt heimlich zu einem besseren Ort zu machen. Kayden ist ein Geheimagent auf der Flucht, der im Körper einer ... ähm ... ausgesprochen fetten, alten, flauschigen Katze feststeckt. Bewaffnet mit Jiwoos Superkräften und Kaydens Superintelligenz, kämpfen sie gemeinsam gegen böse Mächte, die nach der Herrschaft über die Welt trachten. Vorausgesetzt natürlich, dass sie einander lange genug aushalten können, um den Job zu erledigen."
4515,Multi-Skill Collector,ACTION,"KEYBOARD MANSAE,KIM DAE HOON",FRIDAY,10,2623,9.62,29260,1293,ONGOING,False,"Seit zwei Jahren wird Jaerim jede Nacht von denselben Albträumen heimgesucht, die ein Horrorspiel zeigen, in dem er eine Zombie-Apokalypse überleben muss. Doch eines Tages wird sein Albtraum plötzlich zur Realität und er, der dieses Spiel bereits hunderte Male gespielt hat, entschließt sich dazu, sich seinen Albträumen zu stellen und sie für immer loszuwerden!"
4514,Eine Nacht mit dem Kaiser,ROMANCE,"Bloomy,INUS,Seunghyun Cha",THURSDAY,3,6520,9.7,178643,7452,ONGOING,True,"Eine geplatzte Verlobung und ein Drink zu viel führen zu einem Fehler, der das Leben von Penelope Zecalion für immer verändern wird: Plötzlich wacht sie an der Seite eines Fremden auf, der sich als der Kaiser entpuppt! Zunächst zögert die griesgrämige Penelope, sich dem Kaiser zu öffnen, nachdem ihre erste Verlobung ein so unglückliches Ende fand. Wird es dem Kaiser gelingen, ihr Herz zu gewinnen?"
4513,Das Blut der Schmetterlinge,FANTASY,Remin,WEDNESDAY,10,5003,9.44,54820,2520,ONGOING,False,"Als ein Schwarm riesiger Käfer droht, die Menschheit auszulöschen, ist die einzige Hoffnung der Welt eine Gruppe von Menschen mit besonderen Fähigkeiten - die Schmetterlinge. Für Maehwa Baek sind die Schmetterlinge nur Helden, die er im Fernsehen sieht, bis ein tragisches Ereignis ihn zu den Wissenschaftlern führt, die sie erschaffen haben. Schon bald muss sich Maehwa mit Fragen über sich selbst auseinandersetzen, die er lange vermieden hat: Warum verliert er beim Anblick seines eigenen Blutes die Kontrolle? Und was geschah während der 13 Jahre seines Lebens, an die er sich nicht erinnern kann?
"
