title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4598,Gemela desaparecida,DRAMA,"Gaje,Dodal",WEDNESDAY,4,63822,9.53,216223,31111,ONGOING,False,"Janghwa es la típica chica universitaria: linda, va a una buena universidad y tiene un novio que la quiere. No podemos decir lo mismo de su hermana gemela, Hongryeon. De hecho, es todo lo contrario. Pero como la buena hermana que es, Janghwa decide ayudarla y subirle la confianza. Qué linda historia, ¿no? Mmm... hasta que, sospechosamente, Hongryeon se empieza a sentir y ver cada vez más como su hermana. ¿Qué está pasando? ¿Janghwa podrá seguir siendo la misma? ¿Cuál es el precio de esta hermandad?
"
4597,La basura en su lugar,DRAMA,EDDiERiNG,WEDNESDAY,6,108708,9.71,563964,81905,ONGOING,False,"Woobin es un experto en seducir a mujeres ricas con su gran atractivo, y vive de los regalos que ellas le dan. Quiere acercarse a la hermosa y pudiente Suji… ¡pero se enamora de ella! Cegado por el amor, Woobin no se percata de que Suji no es el ángel que él creía que era, sino que tiene un lado oscuro que poco a poco lo enredará. Cada uno con un objetivo distinto, ¡Woobin y Suji caerán presas de un romance que no se puede reciclar!
"
4595,Hecho de Polvo de Estrellas ,ROMANCE,Kalisami,MONDAY,4,61310,9.72,171510,24556,ONGOING,False,"Kalisa es una joven estrella del firmamento, cuyo destino fue sellado al caer desde el cielo, a un reino moribundo.
Sin recuerdos y con una maldición impuesta, mientras un rey está en su búsqueda ¿Podrá liberarse de su maldición, y volver a las estrellas?"
4594,Reflejo del alma,ROMANCE,Magovi,TUESDAY,3,68428,9.85,180379,35401,ONGOING,False,"Annie es una chica insegura y solitaria con miedo a los espejos mientras Liam es un famoso modelo y actor. Nadie se imaginó que estos dos polos opuestos formarían una amistad, pero, lo que todos muestran por fuera no siempre es el verdadero reflejo del alma. Esta es la historia de dos corazones rotos en un viaje a la auto aceptación y el amor."
4510,Nuestro hogar,ROMANCE,"Jinha,JIN Jongkyoung","WEDNESDAY,SUNDAY",11,38968,9.31,178647,29455,ONGOING,False,"Hana es la hija del dueño de la pensión Cuatro estaciones. Cuando sus padres decidieron perseguir su sueño de viajar por el mundo, Hana se quedó a cargo de administrar el lugar; pero la aparente tranquilidad que se respira en la armoniosa pensión siempre vendrá acompañada de eventos inesperados. ¿Será Hana capaz de mantener todo bajo control?"
4509,Cásate con mi esposo,DRAMA,"LICO,sungsojak",MONDAY,7,188646,9.84,1111114,163806,ONGOING,False,"Jiwon muere de una manera terriblemente injusta a causa de la violencia de su marido, que la engañaba con su mejor amiga. Pero se produce un milagro y Jiwon despierta 10 años en el pasado, cuando todavía no se había casado. Entonces, pone en marcha su plan de venganza. ¡Y ahora no parará hasta lograr que sea su mejor amiga la que se case con su marido!"
4508,Esposa celestial,ROMANCE,"moonsol,heemyeong",MONDAY,9,111307,9.68,662914,86919,ONGOING,False,"En el reino de Chae, los humanos habían venerado a los dioses por miles de años, pero fueron perdiendo la fe desde la última vez que un celestial los visitó. Un día, justo cuando estaba a punto de morir a manos de soldados de su propio reino, la princesa Chaeyeon fue rescatada por un hombre misterioso que bajó del cielo y se la llevó a su hogar en la Montaña Kunlun. Era el Gran Fénix Celestial, un dios con alas gigantes que pronto sería su esposo. Chaeyeon no dejó pasar esta oportunidad única y decidió convertirse en la Esposa Celestial. Pero su decisión podría cambiar el curso de su destino, tanto en los cielos como en la tierra."
4507,El encanto maldito del duque,ROMANCE,"Goyogom,Sohwagi,Lemon Frog",THURSDAY,9,196866,9.81,1495496,179686,ONGOING,False,"Al duque Carhel Luave se lo conoce como el “duque demoníaco” debido a su incontrolable habilidad mágica para encantar a cualquier persona que lo mire a los ojos. Al ser una maldición más que una bendición, muchas casas nobles conspiran para derrocarlo. Y como no tiene a nadie de verdadera confianza, Carhel se pregunta si alguna vez podrá sentir el calor de otro ser humano. Un día, luego de atacar la finca de uno de sus enemigos, Carhel captura por error a Lena, la criada de la casa. Pero cuando intenta usar sus poderes para encantarla y que tenga una muerte rápida, ocurre algo inesperado. Por alguna razón, ¡los poderes de Carhel no tienen efecto en ella! "
4505,Contrato a mordiscos,ROMANCE,sungeun,THURSDAY,10,173619,9.77,1531499,194183,ONGOING,False,"¿Quién necesita medicamentos cuando una mordida de vampiro puede mejorarnos al instante? Chae-i sufre de dolor de cabeza crónico lo que le ha provocado una terrible reputación como actriz. Al sentir mejoría, después de haber sido mordida por el famoso Ijun —quien resulta ser un vampiro— ella le pide que la siga mordiendo, a cambio, Ijun le propone una relación por contrato. ¿Qué lo motiva? ¿Chae-i encontrará mejoría?


"
4504,Palo de madera +99,FANTASY,"Hongsil,Jiperi,Du-eop",FRIDAY,11,56196,9.76,498616,61251,ONGOING,False,"La “ley de la selva” no les da piedad a los débiles en el mundo virtual de Chrono Life, pero eso ya no corre para Jiwoo. Aunque alguna vez lo ignoraron y lo despreciaron, Jiwoo se convierte en el personaje más poderoso cuando llega a sus manos un palo de madera… es decir, un palo de madera +99, capaz de partir al mundo en dos de un solo golpe. Jiwoo emprende una aventura explosiva, dispuesto a vengarse sin piedad de sus viejos enemigos. "
