title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4670,"La Princesse, cette fleur sauvage",FANTASY,"Manju,Moonto,Hanboyeon",SATURDAY,3,13369,9.51,78874,8489,ONGOING,True,"Quand la princesse Mélodie Corbella déclare avec enthousiasme au cours d’une réunion d’état qu’elle souhaite faire un mariage princier, un vent glacial souffle sur l’assemblée. Seul le prince Deïmos réagit avec virulence et implore l’Empereur de ne surtout pas marier cette folle à qui que ce soit. Mélodie attendait cet instant depuis un an, un an à faire tout son possible pour quitter son image de princesse et à se faire passer pour une folle afin d’échapper à un mariage princier qu’elle refuse catégoriquement. Après s’être coupé les cheveux et avoir abandonné les robes pour des pantalons bien plus confortables, la princesse renaît en fleur sauvage."
4669,"À moi, l'item légendaire",ACTION,"Jung SeonYul,Hess",FRIDAY,3,13164,9.76,42784,3246,ONGOING,False,"Dans un monde où magie et technologie se confondent, l'humanité vit sous le règne de terreur des créatures de mythologie. Des individus aux pouvoirs spéciaux ont émergé de ce chaos pour aider les hommes. Le héros Jaehyun en fait partie, mais c'est un Raider en galère, au plus bas de l'échelle. Jusqu'au jour où il trouve un objet légendaire qui va lui permettre de changer le cours de l'histoire et sauver l'humanité, face à la menace des dieux d'Essirel."
4668,Binding Romance,ROMANCE,Medor LELAC,THURSDAY,3,7142,9.28,29013,3674,ONGOING,False,Une ancienne cheffe de gang qui revient sur son territoire afin de trouver l'amour ? C'est le défi que le frère de Yuma- qui rêve d'indépendance- lui lance avant de la laisser prendre son envol. C'est ainsi que son espoir de liberté se verra perturbé par deux garçons ayant une approche de l'amour et de l'amitié bien différente.
4667,Death Row Boy,THRILLER,"KIM SOONG NYUNG,GWANG SAN",WEDNESDAY,3,9058,9.64,33073,3100,ONGOING,False,"Un homme et un jeune homme, tous deux hantés par les crimes d'un tueur en série, décident de s'unir pour anéantir celui qui a brisé leurs vies."
4666,The Breaker: Eternal Force,ACTION,"GEUKJIN JEON,JINHWAN PARK",TUESDAY,3,12633,9.77,44053,3699,ONGOING,False,"Ne pouvant plus supporter les harcèlements au lycée, Kang Haje décide de mettre fin à sa vie misérable. Aux portes de la mort, il rencontre un mystérieux lycéen, Lee Si-Un, qui vient lui porter secours. Très vite, Haje constate que Si-Un n'est pas une personne ordinaire et il apprend qu'il vient du murim, une société de gens dotés de pouvoirs hors du commun."
4665,The Academy's Undercover Professor,FANTASY,"tana,WAG,sayren",MONDAY,3,16608,9.75,96823,8810,ONGOING,True,"Un concours de circonstances amène notre héros à endosser l'identité d'un nouveau professeur de l'illustre Académie de Céorun. Deux ans. C'est le temps qu'il devra tenir en tant que Ludger Cherish. Mais ce qui ne devait être qu'un simple jeu de rôle s'avère être un véritable exercice de funambulisme, où se mêlent complots, société secrète, magie et retournements de situation."
4664,WEE !!!,SLICE_OF_LIFE,Amoeba UwU,SUNDAY,4,13563,9.2,72474,9564,ONGOING,False,"Découvrez le quotidien drôle et mignon d'Amu ! Une lycéenne plus ou moins banale, entourée d'amis étrangement drôles !"
4663,Disconnected from reality,THRILLER,"HHAANN,LIMYE",SATURDAY,4,9468,9.84,45064,4174,ONGOING,False,"Hyesung, jeune lycéen n'a aucune volonté de vivre. Tout ce qu'il espère est de terminer cette vie ennuyeuse. Un jour, son souhait devient réel, mais de façon imprévue... . "
4662,Like Family,ROMANCE,seowoo,FRIDAY,5,11422,9.6,120273,12304,ONGOING,True,"Top star, Nana toujours entourée de rumeurs et de scandales, se trouve une nouvelle fois dans une situation difficile.... et romantique. Entre un colocataire bien trop jeune et l'acteur qu'elle admire qui pourra devenir sa vraie famille ?"
4661,Un de chaque ,ROMANCE,"Milena Ciccarello,Bianca Alessi,Kotopopi",THURSDAY,4,7489,8.47,44247,5768,ONGOING,False,"Blanche est une perfectionniste. Après de nombreuses relations insatisfaisantes où ""il manque toujours quelque chose"", elle décide que le seul moyen d’être heureuse en amour c’est d’avoir un partenaire pour chaque chose qu’elle désire chez un homme."
4660,Good Morning Professor,ROMANCE,Tako,WEDNESDAY,4,18692,9.08,111378,11366,ONGOING,False,"Ken, jeune mannequin, qui vient de déménager dans un nouvel immeuble, se trompe d'appartement en étant ivre. Cet hasard lui permet de rencontrer son voisin, un professeur solitaire. Tous les deux qui mènent une vie complètement différente, ne peuvent pas s'empêcher de ressentir un tout nouveau sentiment. "
4658,À la poursuite de Luce Vischel,ROMANCE,"esti,angkkoppang,HAKttobuk",TUESDAY,4,28514,9.59,164931,14872,ONGOING,False,"""Je vais me marier avec Luce Vischel"" telle était l'annonce de Bastian, l'homme le plus bel et le plus arrogant du royaume. Tout le monde était abasourdi par ses paroles, y compris Luce, la terrible chevalière de la famille Vischel. C'est alors que commença la poursuite de Luce ! Pourra-t-il enfin devenir son mari ?"
4657,Muted,DRAMA,Miranda Mundt,MONDAY,4,12369,9.69,57043,7153,ONGOING,False,"Le soir de ses 21 ans, la jeune sorcière Camille Severin doit effectuer un rituel traditionnel, afin d’invoquer un démon ailé pour assurer le succès et la prospérité de sa famille. Mais le rituel ne se déroule pas comme prévu, et sont alors révélés de terrifiantes vérités sur sa vie et des secrets qui menacent de déchirer sa famille.
"
4567,Reloaded into the Other World,ACTION,"WM,CHOCHO,Yim Kyung Bae",FRIDAY,8,48467,9.51,475886,30939,ONGOING,False,"Quand le cœur du roi sera réduit en cendres, un être transcendant le destin de ce monde descendra sur cette terre. Le jeune terrien Sihan Sung est le sauveur de ce monde qui est parvenu à détrôner le tyran. Après cette victoire, il pense enfin pouvoir vivre en paix avec ses amis et la femme qu’il aime, mais c’est sans compter sur leur trahison. Sihan perd tout ce qui lui est précieux et est renvoyé sur Terre. Après 10 longues années à patienter, il parvient enfin à revenir sur Terranore. C’est l’histoire du héros qui retourne dans l’autre monde, celui qu’il a sauvé."
