title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4685,只想佔有你,BL_GL,Yeoleum,SATURDAY,3,17055,9.46,95486,5503,ONGOING,False,在21歲那天闖下了大禍的朴恩秀！因為一夜的失誤而互相牽扯上的兩人，他們究竟會如何發展呢？
4656,紙月亮,LOCAL,日下棗,WEDNESDAY,4,3529,9.41,31415,2599,ONGOING,True,"「經手報導的，也是人。」 

作風嚴謹的名醫城柏瑞爆出醫療疏失致死案，記者邢賢佑與尹智文覺得事有蹊蹺，決定聯手找出事情真相，卻因媒體亂象與人心難測而陷入撲朔迷離的困境中……"
4655,非常律師禹英禑,ADAPTATION,"Yuil,HwaUmJo,LeeYeJi,Moon Jiwon",TUESDAY,2,44658,9.67,309598,10054,ONGOING,False,"【人氣戲劇同名漫畫】
正著唸、倒著唸都是禹英禑，
黑吃黑、多倫多、石榴石、文言文...禹英禑！
天才菜鳥律師的大型律師事務所生存記療癒登場！"
4614,殺人者的難堪,THRILLER,kkomabi,TUESDAY,3,2377,7.31,30190,856,ONGOING,False,[影視化定案_原創網漫作品] 平凡大學生能鑑別惡人？因為一起偶然的事件而變成殺人犯的李唐，意外察覺自己有分辨壞人的超能力，他與追查這起事件的張楠感等刑警發生一連串意想不到的事件。
4613,ON AIR：現正直播中,MYSTERY,Shim bokil,WEDNESDAY,5,20161,8.89,156403,7264,ONGOING,False,以拍攝與男友戀愛日常VLOG而竄紅的Metuber小英，擁有50萬訂閱、備受眾人羨慕的完美戀愛，正當她享受著男友的體貼、人氣光環的巔峰之時，卻收到了男友突如其來的分手簡訊！為了釐清這離奇的一切並救回自己的訂閱數，小英開啟一連串作戰計畫，卻越查越發現事不單純......
4612,黑影之夜,MYSTERY,YUNG,TUESDAY,5,12999,9.86,85959,5359,ONGOING,False,女高中生李亞凌，會在夢中看見怪物、甚至預知他人死亡，並將這些夢境記錄在筆記本中。某天亞凌的筆記中出現了自己從未寫過的內容，但卻是自己夢過的畫面，苦無頭緒的同時，預知夢中的怪物們卻一一出現在現實中，並在校園裡展開了殺戮...
4611,女王雷娜：致不可饒恕的你,WESTERN_PALACE,"Seol Dong-Won,NANA,kim youngji",WEDNESDAY,4,32016,9.63,197521,9419,ONGOING,False,「我給你一個機會，求得我饒恕的機會。」在生死交錯的帝國裡，年幼的雷娜註定被父親犧牲、成為祭品而悲慘死去....但在六年後，所有人都認定已死去的那位女孩，卻爬出深淵自地獄歸來！褪去羔羊假面，化身蓄勢待發的復仇女王！
4607,我死了又死,TIME_SLIP,"李元植,蜜燦",SATURDAY,4,8514,9.37,64277,2989,ONGOING,False,"看來這輩子是完蛋了。那就乾脆別活了吧！
我唯一可以完全掌握的就是死亡了...我的死活我自己做主！
與死亡為伍所開啟的13段新人生。"
4606,侯爵的神殿貢女,WESTERN_PALACE,"Flowing HonEy,Hash,NONO",THURSDAY,3,13834,9.61,70774,3170,ONGOING,False,作為沒落家族騎士的獨生女出生 - 帕莉亞，過著悲慘生活的她獲得了重生的機會。為了不再為錢所苦惱、為了更幸福的人生，而選擇成為神殿的貢女。但卻意外成為帝國最帥美男子、擁有最高爵位的貴族 - 修登的妻子...！究竟修登的貢女－帕莉亞，她的命運會是...
4605,THE runway：時尚愛戀,CITY_OFFICE,"DOMI,NOKDU,Hirachell,DAY,KIM DAWA",SUNDAY,6,65426,9.47,590865,19094,ONGOING,False,時尚雜誌編輯柳智安聽到未婚夫劈腿的消息之後跑去巴黎散心，衝動之下在那裡和偶遇的男人過夜…3個月後，智安的公司從法國來了一名能力超強的主編。然而…他就是和智安在法國過夜的那個男人！！共度一夜的那個男人竟然是我上司？！
